Sentences,SGD_Pred,LR_Pred,TFIDF_Pred,Vote_Pred
I advise coming early - I got here at 8 (it opens at 7) and by the time we left at 9:30 it was far more crowded and a lot more hot.,environment,environment,environment,environment
Overall - it was great!,environment,environment,environment,environment
Amazing selection of produce from lots of vendors.,availability,availability,availability,availability
"Many bakeries with pastries and breads, salsas and pasta sauces, fresh eggs and juices, you name it.",availability,availability,availability,availability
Lots of samples.,environment,environment,environment,environment
Vendors were very friendly and happy to answer questions and talk about their products.,environment,environment,environment,environment
It's exactly what I was hoping for.,quality,environment,quality,quality
"However... can I just say, the Abby's Crepe tent was THE biggest waste of money I have ever encountered.",environment,environment,quality,environment
Like...,environment,environment,quality,environment
I almost had to laugh.,environment,environment,environment,environment
"We stopped there, and for starters, you order on one side and pay on the other.",availability,quality,quality,quality
But nobody tells you that.,environment,environment,safety,environment
"So I stood around like an idiot (and their employees did not smile at me, offer to help, or anything - they just stood there ignoring me) until several minutes went by and I said - um, can I order?",environment,environment,environment,environment
