No.,Tweet,Label,Words,Notes,Contributor
157,We will be at the Farmers market tonight from 3pm to 6pm.  Jam and Danny will be at the tent.  Stop by and say hello! https://t.co/lF6c3UzKWE,NR,,business (content),
158,Check Out the Latest Buffalo Grove E-newsletter and the Farmers' Market Today! https://t.co/AFtmWlOiEb via @Nextdoor,NR,check out,business (content),
159,The farmers market at my building has hemp satchels with earthy appliqués in case you’re into that sorta thing,availability,has,,consumers
160,Chicago’s Best Farmers Markets https://t.co/BYjXuVezZw https://t.co/MajWaMWmsv,quality,best,,consumers
161,Oak Park Farmer's Market Kicks Off 43rd Season https://t.co/lh3So20HJS https://t.co/N1IXrpzW8F,NR,kicks off,business (content),
162,"Fresh donuts made on site, fresh coffee and live bluegrass music performed by the Farmers' Market Band are part of what makes the #OakPark Farmers' Market so special. The Market's 43rd season kicks off May 19 and continues every Saturday through October. https://t.co/rMC0NhL447 https://t.co/ueLKOvVamS",environment,"donuts, coffee, live music, performed",business (content),
163,Farmers markets guide: Your complete Chicago and suburban listings https://t.co/5d79Pq1bRZ,education,guide,,educators
164,"Farmer's Market

Please join us today, 3-7 PM, at the Farmers' Market! The Old Town Bloomingdale Farmers' Market, which operates every Thursday, 3 PM to 7 PM through September 20, in the Old... https://t.co/7pw2qT80ks",NR,"please join us, operates",business (content),
165,The nephew & I hanging out today.  Take care too. @ Logan Square Farmers Market https://t.co/PikUmtmZ7Z,environment,"nephew, haning out, take care",,
166,We'll be at the Downtown Elgin Farmers Market on Friday. We'll be reading another great book from @gailbrdnlibrary at 4 & 6. Stop by to grab one of the new Elgin Bike maps and bring your own learning to ride story! #BikeElgin #bikebooks #farmersmarket #downtownelgin https://t.co/XvXFBfEGzU,NR,"we'll be at, stop by, book, learning story",,educators
167,"The 61st Street #FarmersMarket moves back outdoors today! Head to 61st/Dorchester between 9am-2pm. Rain or shine, it’ll be fine. #Woodlawn #HydeParkChicago https://t.co/W6TpCCXcCk",NR,moves back! Head,business (content),
168,"It’s farmers market and fresh produce season❣️ Why not grow your own chemical free, nutrient dense, low maintenance, and very affordable better than organic produce… https://t.co/QHXyVpo0dF",quality,"chemical free, nutrient, organic, affordable",,promoters
169,Head to Historic Wagner Farm for Saturday's Farmer's Market — Opens at 8AM. #GlenviewIL  https://t.co/ggvjVA9Hv6 https://t.co/lQTaIZ4SvU,NR,"head to, opens at ",business (content),
170,We have our bag for Elgin Farmers Market this afternoon! #ExploreElgin https://t.co/zHmzo8VWnZ,NR,bag,business (content),
171,"Indoor Market today 9a till Noon and some special treats from The Market at Gaetano's too!

Batavia Farmers' Market https://t.co/xYO8NaIg5J",NR,today till noon,business (content),
172,at Old Capitol Farmers Market https://t.co/80coKb1dmH,NR,at,,consumers
173,"Here's tomorrow's opening day line-up for Edgebrook Farmers Market! Stacked with flavor. @localgoodschica #sausagekonig #chicagosausage #craftsausage @ Chicago, Illinois https://t.co/R38UOJ9Nfm",NR,opening ,business (content),
174,Met a gem at the farmers market this morning. She told me to cleanse from the inside out.,NR,,,
175,"Visit Socks & Souls today at the Old Town Bloomingdale Farmers' Market from 3:00 p.m. to 7:00 p.m as Socks and Souls will be a guest vendor this week! For every pair of socks sold, a pair… https://t.co/AFYdoZJI8N",NR,"visit, today",business (content),
176,"Have too much produce from your garden or want to save what you can from the farmers market?  Check out my latest blog to learn how to ""freeze summer.""  https://t.co/2F9ftC5sgT  #personalchef #urbangarden",NR,"check out, save",,promoters
177,"$SFM: Sprouts Farmers Market beats by $0.01, reports revs in-line; raises FY18 guidance https://t.co/z6GGhPfxOy",NR,"beats, $",,
178,Farmers market has record breaking turnout https://t.co/Qv5JsS7pey,NR,record breaking,,
179,"Check out the Farmer’s Market in the MTCC Bridge today till 1:00.
#FarmersMarket #IITDining https://t.co/cxEii5zdN4",NR,"check out, till",business (content),
180,"Due to illness, Chuck from Swingbelly Farms​ will not be able to join us for storytime next week at the La Grange Farmers Market​. BUT, we still have a great story planned for storytime! We hope Chuck feels better soon & hope to see you June 14 at 11am on the village hall lawn. https://t.co/ZBpRlaFBfz",environment,"join us, storytime, illness",,
181,Witness the power of food! Students at @ChiPubSchools @MitchellBobcats tasted tea for the first time and are now creating their own tea to sell at the farmers market. Learn more and donate to support food education for students here: https://t.co/ucdGsjJkCr https://t.co/OyooPibaz8,environment,"donate, support, students, learn",,educators
182,"Our community partner Illinois Stewardship Alliance is in need of volunteers to count attendance at the Old Capitol Farmers Market THIS Saturday! Shifts are available every Saturday until the market closes at the end of October. 

Sign up here:... https://t.co/Br3byRMptR",environment,"volunteers, attendance, sign up, community",,
183,"Picked up some veggies at the farmers market, gonna make noms with em and may or may not post how it goes ^^",availability,"picked up, vessgines, ^^",,consumers
184,"Between farmers market season, CSA boxes, and impulse shopping at grocery stores, it’s easy to wind up with a lot of fruit. So, make this fruit salsa.  https://t.co/mrmKgVUNWF",availability,"a lot of fruit, fruit salsa",,
185,GIPNA Farmers Market today! We are celebrating Murphy School and having some fun among the veggies 🌽. Join us at 11:00 for the family picnic too. @GIPNAorg @EcoActivista @CPSN1Deputy @dspuhr @RobertaSalas #parentinvolvement #caringcommunity https://t.co/KPtQyX15gB,NR,"celebrating, beggies, join us at, family picnic.",business (content),
186,up making coffee to give me the energy to go get coffee at Portage Park Farmers Market (last of year) &/or Cafe Urbano,environment,coffee,,
187,When you go for your morning run and stumble upon a farmers market! #atlanta… https://t.co/FE00Ed50sF,environment,"run, stumble upon",,
188,Taste all the colors of the rainbow with salad veggies from the Champaign Farmers Market tomorrow. 3:30-6:30 in the parking lot by Neil & Main in downtown #champaign Your local farmers will be there for you rain or shine! #FarmersMarketWeek https://t.co/4290wWaRpf,NR,your local farmers will there,business (content),
189,Tomorrow is your last chance to take our customer survey at the Farmers' Market! Come tell our volunteers what you want to see from us! The survey will still be available online through the month of July at:  https://t.co/VgspOQvXEh https://t.co/CVof2dNXA7,environment,"survey, volunteers",,educators
190,Today was fun. Found a little farmers market downtown w/ some of my favorite people. https://t.co/DPDt7Ry99u,environment,"fun, favirite people",,
191,Upcoming Event: Huntley Farmers Market - 8/25/2018  https://t.co/S5QzPgxKjH,environment,upcoming event,,
192,"summer no. 6 of greenhouse, farmstand, and farmers’ markets: a thread",NR,,,
193,"We’re honored to sponsor the @boonecohealth Annual Farmers Market and Wellness Fair! 🍏🍅🌽 Come enjoy a variety of fresh food and resources on 7/17 from 9am-3pm! For location details, please go here: https://t.co/ihjj1NzKoW",availability,"sponsor, a variety of fresh food",,
194,"Trinity Farmers Market open today till 1 p.m.

The corner of 95th and Normal.",NR,,business (content),
195,How much do we love our farmers market? Let us count the ways. https://t.co/YVZKBaYthP,NR,,,
196,"Farmers market? ""yes please!!"" https://t.co/0wnCSfUybU",NR,,,
197,"After the fridge taking a dump last week it’s a much needed nourishment recharge happening this weekend and upcoming week.  

It was such a wonderful visit to the Beloit Farmers Market this morning!  

Huge shout... https://t.co/VUz9SLPrkh",NR,"nourishment, wonderful visit",,consumers
198,Get to know the farmers and gardeners of the Aurora Area at markets & nurseries throughout the region https://t.co/BoJLU6ww3z https://t.co/7OvD5BCi6r,NR,get to know,,educators
199,Have some Farmers Market’s coming up? What if you could message every phone within 200 yards? https://t.co/AtbJMpsip8 #advertising #fairs #farmer #farmers #FarmersMarket #GO #localbusiness #market #marketing #organic #proximity #proximitymarketing #smallbusiness #localfood https://t.co/2IVOJEK3uR,NR,what if?,,promoters
200,Head to Historic Wagner Farm for Saturday's Farmer's Market — Opens at 8AM. #GlenviewIL  https://t.co/ggvjVA9Hv6 https://t.co/lQTaIZ4SvU,NR,"head to, opens at ",business (content),
201,We have our bag for Elgin Farmers Market this afternoon! #ExploreElgin https://t.co/zHmzo8VWnZ,NR,we have our bag for,,consumers
202,"Indoor Market today 9a till Noon and some special treats from The Market at Gaetano's too!

Batavia Farmers' Market https://t.co/xYO8NaIg5J",NR,"till noon, special treats",business (content),
203,at Old Capitol Farmers Market https://t.co/80coKb1dmH,NR,at,,consumers
204,"Here's tomorrow's opening day line-up for Edgebrook Farmers Market! Stacked with flavor. @localgoodschica #sausagekonig #chicagosausage #craftsausage @ Chicago, Illinois https://t.co/R38UOJ9Nfm",NR,here's opening day,business (content),
205,Met a gem at the farmers market this morning. She told me to cleanse from the inside out.,NR,,,
206,"Visit Socks & Souls today at the Old Town Bloomingdale Farmers' Market from 3:00 p.m. to 7:00 p.m as Socks and Souls will be a guest vendor this week! For every pair of socks sold, a pair… https://t.co/AFYdoZJI8N",NR,"visit, from to",business (content),
207,"Have too much produce from your garden or want to save what you can from the farmers market?  Check out my latest blog to learn how to ""freeze summer.""  https://t.co/2F9ftC5sgT  #personalchef #urbangarden",NR,"save, check out, learn",,promotors
208,"@ninaandtito Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",economics,"poor, STAMPS",,
209,"in addition: capitalism isn't inherently bad, it's just that people are selectively ignorant and will support shitty companies with bad policies. 

a farmers market is just as capitalist as a grocery store, the people running just actually give a shit about their customers.",economics,"capitalism, policies",Environment,
210,Oo bitch I wanna go to a farmers market,NR,,,
211,can someone accompany my lame ass to a farmers market sometime this summer bc i am a mom friend :-(,NR,,,
212,I almost had a warm breakfast. But oh you know working outside at a farmers market when it’s cold sucks the life out of everything.,environment,"cold, outside, life",,
213,"@WinkWestwood Shirts and hats from a gas station. Shoes from a fucking Farmers Market. 

The won't be dressing too different because they already can't dress as it is.",NR,,,
214,unfortunately i let a girl at the farmers market talk me into getting one of those vegan noodle salad things and i cannot take the texture of it,quality,"unfortunately, cannot take",,
215,Kiddo who rarely eats veggies requests a butternut squash at the Farmers Market. And what do I do to thank him? Accidentally wack him in the head with it as I put it in my bag. :(,environment,"kiddo, accidentaly",,
216,"I have dozens of stories of being demeaned by men working that job which involved operating a farmers market stall at locations in downtown Chicago, esp those wearing the dumbass stock market trading floor jersey jackets.",behavior,"demeaned, dumbass",,
217,"Unfortunately, we are not going to be at the Evanston Farmers Market this Saturday (poor planning). However, we will be at the... https://t.co/dmBCIDtGw5",NR,,,
218,@TheAliceSmith I don't think these idiots appreciate the irony of spreading their nonsense at a farmers market,quality,nonsense,,
219,My other joke was about farmers markets,NR,,,
220,Is there a most obvious sign youre a basic? Wowwww you dont want me to see your pics from the farmers market???? You fuckin scandalous normie!!!!,NR,,Indirectly points to the fact that basic people go to farmers market but don’t want others to see,
221,there have now been 5 white women that walked in here to throw things away in our trash (despite the fact that there is a large trash can outside specifically for the farmers market) and none of them acknowledged any of us they just walked in and put their shit in our garbage,behavior,"acknowledged, shit",,
222,"@BruceRauner When you were at the farmers market, Gov. Rauner, how many people did you lie to about the State of Illinois budget?",NR,,Indirectly talks about Environment,
223,So...my band is playing an acoustic 4 hour set Saturday morning at the Downers Grove Farmers Market...so if @DavidDobrik & co. stopped there before the podcast...that’d be cool.,environment,"band, acoustic, set",,
224,@alexwennerberg have you ever been to the farmers market? i was considering going today but if it's not fun I am not braving the heat,environment,fun,Heat - Convinience,
225,"Today was the first day for the farmers' market. I probably didn't need donuts, beef sticks, pork kabobs, AND Ethiopian, but whatever.",availability,"donuts, beef sticks, pork kabobs",,
226,@_alex_joshua @SenhorRaposa What do they farm in NJ?   Is it all like hobby farm & farmers market shit or are there legit farms?,NR,,,
227,"Just overheard my kid crashing his cars and was treated to this snippet of dialogue:

“Oh no, I crashed!  I crashed right into this farmers market!!!”

I seriously gotta check myself.",NR,,,
228,"@SHMeeplesCo 1. My daughters
2. Coffee
3. Grilling with a beer
4. Being in nature (camping)
5. Farmers Markets 
6. Museums 
7. Video Games (right now Zelda) 
8. Cat Toby and Dog Owen (I have a third dog but she’s annoying). 
9. Cooking
10. Chillin’ with wife & watching TV together.",NR,,,
